ID,ABRIR_AM,MEDIDOR_ENCONTRADO,MEDIDOR_INSTALADO,CHAVE_AFERICAO_ENCONTRADA,CHAVE_AFERICAO_INSTALADA,TCS_ENCONTRADO,TCS_INSTALADOS,TROCA_CAIXA,POLO,EQUIPE,DATA_SERVICO,HORARIO_INICIO,HORARIO_FIM,OBSERVACAO,COLABORADORA_BAIXA,DATA_BAIXA,NOTA,AM_REMANEJO,ANEXO,OBS,FAIXA
2000569316,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,16/12/2025,,,,,,,,,,
2000566264,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,16/12/2025,,,,,,,,,,
2000431755,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,16/12/2025,,,,,,,,,,
2000463215,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,16/12/2025,,,,,,,,,,
2000447320,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,16/12/2025,,,,,,,,,,
2000463183,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,16/12/2025,,,,,,,,,,
2000445978,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,16/12/2025,,,,,,,,,,
2000463179,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,16/12/2025,,,,,,,,,,
2000463217,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F005M,16/12/2025,,,,,,,,,,
2000490025,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F011M,16/12/2025,,,,,,,,,,
2000445213,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,16/12/2025,,,,,,,,,,
2000453249,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,16/12/2025,,,,,,,,,,
2000442318,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,16/12/2025,,,,,,,,,,
2000444068,,,,,NÃO,SIM,NÃO,NÃO,REDENÇÃO,PA-RED-F008M,16/12/2025,,,,,,,,,,
2000566747,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,16/12/2025,,,,,,,,,,
2000567632,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,16/12/2025,,,,,,,,,,
2000566793,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,16/12/2025,,,,,,,,,,
2000565579,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,16/12/2025,,,,,,,,,,
2000566438,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,16/12/2025,,,,,,,,,,
2000445218,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,17/12/2025,,,,,,,,,,
2000445217,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,17/12/2025,,,,,,,,,,
2000439714,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,17/12/2025,,,,,,,,,,
2000443393,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,17/12/2025,,,,,,,,,,
2000527157,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F011M,17/12/2025,,,,,,,,,,
2000443801,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,17/12/2025,,,,,,,,,,
2000528572,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,17/12/2025,,,,,,,,,,
2000464715,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F005M,17/12/2025,,,,,,,,,,
2000508035,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F011M,17/12/2025,,,,,,,,,,
2000444321,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,17/12/2025,,,,,,,,,,
2000452542,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,17/12/2025,,,,,,,,,,
2000448989,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,17/12/2025,,,,,,,,,,
2000527068,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F011M,17/12/2025,,,,,,,,,,
2000592720,,,,,NÃO,SIM,NÃO,NÃO,REDENÇÃO,PA-RED-F008M,16/12/2025,,,,,,,,,,
